date,variant,symbol,name,weight,state,state_code,upside,fair_price,close,factor,side
2025-10-17,B,002891,中宠股份,0.2,缩量回踩确认,confirming,1.5,154.3089644781034,32.55,1.5,long
2025-10-17,B,600576,祥源文旅,0.2,观察,watch,1.5,17.78497766633651,5.45,1.5,long
2025-10-17,B,600826,兰生股份,0.2,观察,watch,1.5,89.66501932758001,7.77,1.5,long
2025-10-17,B,600827,百联股份,0.2,观察,watch,1.5,39.108972796431274,8.05,1.5,long
2025-10-17,B,002187,广百股份,-0.2,观察,watch,-0.8,0.5791042957662043,5.21,-0.8,short
2025-10-17,B,002194,武汉凡谷,-0.2,观察,watch,-0.8,1.5967210782802468,8.67,-0.8,short
2025-10-17,B,002494,华斯股份,-0.2,观察,watch,-0.8,0.7018725886205363,4.33,-0.8,short
2025-10-17,B,002515,金字火腿,-0.2,观察,watch,-0.8,1.099718346590168,6.36,-0.8,short
2025-10-17,B,002695,煌上煌,-0.2,观察,watch,-0.8,2.4734650935646414,9.19,-0.8,short
2025-10-24,B,002124,天邦食品,0.2,观察,watch,1.5,25.595016059632748,2.19,1.5,long
2025-10-24,B,002891,中宠股份,0.2,缩量回踩确认,confirming,1.5,159.32533074338232,32.55,1.5,long
2025-10-24,B,600576,祥源文旅,0.2,观察,watch,1.5,18.885359786339293,5.45,1.5,long
2025-10-24,B,600826,兰生股份,0.2,观察,watch,1.5,99.8270805276266,7.77,1.5,long
2025-10-24,B,600827,百联股份,0.2,观察,watch,1.5,40.109564349587465,8.05,1.5,long
2025-10-24,B,600272,开开实业,-0.2,观察,watch,-0.7982734087839841,2.6789291313486903,10.3,-0.7982734087839841,short
2025-10-24,B,002187,广百股份,-0.2,观察,watch,-0.8,0.5767283858735699,5.21,-0.8,short
2025-10-24,B,002194,武汉凡谷,-0.2,观察,watch,-0.8,1.6375623577389986,8.67,-0.8,short
2025-10-24,B,002494,华斯股份,-0.2,观察,watch,-0.8,0.7198252368725723,4.33,-0.8,short
2025-10-24,B,002515,金字火腿,-0.2,观察,watch,-0.8,1.1245354226985196,6.36,-0.8,short
2025-10-31,B,002124,天邦食品,0.2,观察,watch,1.5,8.084180190361828,2.19,1.5,long
2025-10-31,B,002696,百洋股份,0.2,观察,watch,1.5,22.897344050474974,5.08,1.5,long
2025-10-31,B,002891,中宠股份,0.2,缩量回踩确认,confirming,1.5,225.39845210579074,32.55,1.5,long
2025-10-31,B,600597,光明乳业,0.2,观察,watch,1.5,23.446272118905465,7.1,1.5,long
2025-10-31,B,600826,兰生股份,0.2,观察,watch,1.5,65.49326862412036,7.77,1.5,long
2025-10-31,B,001313,粤海饲料,-0.2,观察,watch,-0.7481018844271412,1.8086284698131265,7.1,-0.7481018844271412,short
2025-10-31,B,002695,煌上煌,-0.2,观察,watch,-0.7546022073644146,3.11900594439829,9.19,-0.7546022073644146,short
2025-10-31,B,002515,金字火腿,-0.2,观察,watch,-0.7565517640978178,1.2476077628189497,6.36,-0.7565517640978178,short
2025-10-31,B,600272,开开实业,-0.2,观察,watch,-0.7565517640978178,2.355292845067356,10.3,-0.7565517640978178,short
2025-10-31,B,600730,*ST高科,-0.2,观察,watch,-0.7565517640978178,2.43190809255564,9.54,-0.7565517640978178,short
2025-11-07,B,002124,天邦食品,0.2,观察,watch,1.5,7.966150703558828,2.19,1.5,long
2025-11-07,B,002696,百洋股份,0.2,观察,watch,1.5,22.957345645970932,5.08,1.5,long
2025-11-07,B,002891,中宠股份,0.2,缩量回踩确认,confirming,1.5,225.98906434625434,32.55,1.5,long
2025-11-07,B,600597,光明乳业,0.2,观察,watch,1.5,23.620232890533043,7.1,1.5,long
2025-11-07,B,600826,兰生股份,0.2,观察,watch,1.5,64.62003202939168,7.77,1.5,long
2025-11-07,B,002695,煌上煌,-0.2,观察,watch,-0.7468846949097208,3.184190538035712,9.19,-0.7468846949097208,short
2025-11-07,B,600730,*ST高科,-0.2,观察,watch,-0.7510910904833041,2.3994818877409485,9.54,-0.7510910904833041,short
2025-11-07,B,001313,粤海饲料,-0.2,观察,watch,-0.7515295289950332,1.8133678696416686,7.1,-0.7515295289950332,short
2025-11-07,B,002515,金字火腿,-0.2,观察,watch,-0.7515295289950332,1.2736814215210972,6.36,-0.7515295289950332,short
2025-11-07,B,600272,开开实业,-0.2,观察,watch,-0.7515295289950332,2.3727682298440658,10.3,-0.7515295289950332,short
2025-11-14,B,002124,天邦食品,0.2,观察,watch,1.5,8.16116676609745,2.19,1.5,long
2025-11-14,B,002696,百洋股份,0.2,观察,watch,1.5,23.339107148353737,5.08,1.5,long
2025-11-14,B,002891,中宠股份,0.2,缩量回踩确认,confirming,1.5,229.7473514981245,32.55,1.5,long
