date,variant,symbol,name,weight,state,state_code,upside,fair_price,close,side
2026-01-30,B,600826,兰生股份,0.1,观察,watch,1.5,62.47063712732862,7.77,long
2026-01-30,B,600576,祥源文旅,0.1,观察,watch,1.2827210419605075,15.134440508198164,5.45,long
2026-01-30,B,000957,中通客车,0.1,观察,watch,1.2505686180769842,26.01657322496994,10.59,long
2026-01-30,B,600415,小商品城,0.1,观察,watch,1.219634513995056,35.71391933018045,12.86,long
2026-01-30,B,603391,力聚热能,0.1,观察,watch,1.142233887901793,149.33512432563398,50.24,long
2026-01-30,B,000905.SH,中证500,-1.0,,,,,8370.5203,short_index
2026-02-06,B,002124,天邦食品,0.1,观察,watch,1.5,8.022587987383577,2.19,long
2026-02-06,B,002696,百洋股份,0.1,观察,watch,1.5,25.048667476329165,5.08,long
2026-02-06,B,002891,中宠股份,0.1,缩量回踩确认,confirming,1.5,246.57454525542477,32.55,long
2026-02-06,B,600597,光明乳业,0.1,观察,watch,1.5,23.78762001581385,7.1,long
2026-02-06,B,600600,青岛啤酒,0.1,观察,watch,1.5,160.59604723510984,57.45,long
2026-02-06,B,600826,兰生股份,0.1,观察,watch,1.5,60.79118660519292,7.77,long
2026-02-06,B,600415,小商品城,0.1,观察,watch,1.3733556673370213,36.264874596909685,12.86,long
2026-02-06,B,000957,中通客车,0.1,观察,watch,1.1960092807424592,26.41799164733178,10.59,long
2026-02-06,B,600576,祥源文旅,0.1,观察,watch,1.1546439598900333,14.414568091664323,5.45,long
2026-02-06,B,603391,力聚热能,0.1,观察,watch,1.0975012432792544,151.0200895161063,50.24,long
2026-02-06,B,000905.SH,中证500,-1.0,,,,,8146.4128,short_index
2026-02-13,B,002124,天邦食品,0.1,观察,watch,1.5,8.0276949527117,2.19,long
2026-02-13,B,002696,百洋股份,0.1,观察,watch,1.5,23.98762155610182,5.08,long
2026-02-13,B,002891,中宠股份,0.1,缩量回踩确认,confirming,1.5,236.13039035722105,32.55,long
2026-02-13,B,600597,光明乳业,0.1,观察,watch,1.5,22.287048932492173,7.1,long
2026-02-13,B,600826,兰生股份,0.1,观察,watch,1.5,78.45757825770444,7.77,long
2026-02-13,B,600600,青岛啤酒,0.1,观察,watch,1.4449805619123772,150.4641037800877,57.45,long
2026-02-13,B,600415,小商品城,0.1,观察,watch,1.2516339371410292,33.97715611145813,12.86,long
2026-02-13,B,603391,力聚热能,0.1,观察,watch,1.2022465845628272,156.20535024304135,50.24,long
2026-02-13,B,600576,祥源文旅,0.1,观察,watch,1.0969537861424539,13.902803602124468,5.45,long
2026-02-13,B,000957,中通客车,0.1,观察,watch,1.0940265800187023,24.751394175821062,10.59,long
2026-02-13,B,000905.SH,中证500,-1.0,,,,,8299.585,short_index
2026-02-27,B,002124,天邦食品,0.1,观察,watch,1.5,8.161168105159064,2.19,long
2026-02-27,B,002696,百洋股份,0.1,观察,watch,1.5,24.25249898874578,5.08,long
2026-02-27,B,002891,中宠股份,0.1,缩量回踩确认,confirming,1.5,238.73740400954568,32.55,long
2026-02-27,B,600597,光明乳业,0.1,观察,watch,1.5,22.086583839150226,7.1,long
2026-02-27,B,600826,兰生股份,0.1,观察,watch,1.5,79.86818733317156,7.77,long
2026-02-27,B,600600,青岛啤酒,0.1,观察,watch,1.3869299508379278,149.11151402884533,57.45,long
2026-02-27,B,600415,小商品城,0.1,观察,watch,1.2659192640112211,33.67156026320674,12.86,long
2026-02-27,B,603391,力聚热能,0.1,观察,watch,1.2647137849372334,163.24056961827577,50.24,long
2026-02-27,B,600576,祥源文旅,0.1,观察,watch,1.0444314119749776,13.370581434316353,5.45,long
2026-02-27,B,000957,中通客车,0.1,观察,watch,1.0238310180920442,24.528831939275573,10.59,long
2026-02-27,B,000905.SH,中证500,-1.0,,,,,8658.4503,short_index
2026-03-06,B,002124,天邦食品,0.1,观察,watch,1.5,7.996934525227907,2.19,long
2026-03-06,B,002696,百洋股份,0.1,观察,watch,1.5,22.96830952909733,5.08,long
2026-03-06,B,002891,中宠股份,0.1,缩量回踩确认,confirming,1.5,226.09643738554595,32.55,long
2026-03-06,B,600597,光明乳业,0.1,观察,watch,1.5,21.084744110686557,7.1,long
2026-03-06,B,600826,兰生股份,0.1,观察,watch,1.5,72.81509580082012,7.77,long
2026-03-06,B,600600,青岛啤酒,0.1,观察,watch,1.2790129091146172,142.34714630329898,57.45,long
2026-03-06,B,600415,小商品城,0.1,观察,watch,1.260492336875687,32.14420103037227,12.86,long
2026-03-06,B,603391,力聚热能,0.1,观察,watch,1.1089909073764335,153.61889769329943,50.24,long
2026-03-06,B,000957,中通客车,0.1,观察,watch,1.0869993532016515,23.41613274292253,10.59,long
2026-03-06,B,600576,祥源文旅,0.1,观察,watch,1.014574227409235,12.913420797693197,5.45,long
2026-03-06,B,000905.SH,中证500,-1.0,,,,,8360.3347,short_index
2026-03-13,B,002124,天邦食品,0.1,观察,watch,1.5,8.233040057599162,2.19,long
2026-03-13,B,002696,百洋股份,0.1,观察,watch,1.5,22.483059989937555,5.08,long
2026-03-13,B,002891,中宠股份,0.1,缩量回踩确认,confirming,1.5,221.3195749955371,32.55,long
2026-03-13,B,600597,光明乳业,0.1,观察,watch,1.5,20.884297042380293,7.1,long
2026-03-13,B,600826,兰生股份,0.1,观察,watch,1.5,67.17264888465394,7.77,long
2026-03-13,B,600415,小商品城,0.1,观察,watch,1.2988170591359776,31.838616269033288,12.86,long
2026-03-13,B,600600,青岛啤酒,0.1,观察,watch,1.22318003050004,140.99407753431254,57.45,long
2026-03-13,B,000957,中通客车,0.1,观察,watch,1.0690051839789652,23.1935481124042,10.59,long
2026-03-13,B,600576,祥源文旅,0.1,观察,watch,1.048111660339706,13.046471276363928,5.45,long
2026-03-13,B,603391,力聚热能,0.1,观察,watch,0.9795434944059798,148.86167077932967,50.24,long
2026-03-13,B,000905.SH,中证500,-1.0,,,,,8239.798,short_index
2026-03-20,B,002124,天邦食品,0.1,观察,watch,1.5,7.565747698329566,2.19,long
2026-03-20,B,002696,百洋股份,0.1,观察,watch,1.5,20.95134152767101,5.08,long
