date,track,equity,cash,holding,holding_name,shares,target,target_name,target_strength,action,reason,switched,rebalance,day_return
2026-07-16,1,51450.46,698.46,600661,昂立教育,6400,600661,昂立教育,100,switch,,True,True,-0.03551539852916008
2026-07-17,1,50755.25,355.25,600131,国网信通,3600,600131,国网信通,100,switch,,True,True,-0.013512221270713609
2026-07-20,1,54116.32,1196.32,000933,神火股份,2100,000933,神火股份,100,switch,,True,True,0.06622112983385953
2026-07-21,1,52505.77,981.77,600961,株冶集团,2200,600961,株冶集团,100,switch,,True,True,-0.029760892832328634
2026-07-22,1,52580.88,680.88,002345,潮宏基,5000,002345,潮宏基,100,switch,,True,True,0.0014305094468665125
2026-07-23,1,52124.71,2230.71,000933,神火股份,1900,000933,神火股份,100,switch,,True,True,-0.008675587019464026
2026-07-24,1,49639.89,139.89,600993,马应龙,2200,600993,马应龙,49,switch,,True,True,-0.047670672891993116
2026-07-27,1,50134.89,262.89,002345,潮宏基,4800,002345,潮宏基,100,switch,,True,True,0.009971819035054175
2026-07-28,1,50176.03,576.03,600661,昂立教育,6200,600661,昂立教育,100,switch,,True,True,0.0008205862224890392
2026-07-29,1,51050.32,98.32,600131,国网信通,3300,600131,国网信通,85,switch,,True,True,0.01742445546210014
2026-07-30,1,51489.14,1405.14,000933,神火股份,1900,000933,神火股份,100,switch,,True,True,0.008595832504086243
2026-07-31,1,50883.53,943.53,600961,株冶集团,2200,600961,株冶集团,100,switch,,True,True,-0.01176189775164238
2026-08-03,1,51267.92,227.92,600131,国网信通,3200,600131,国网信通,100,switch,,True,True,0.007554310795654384
2026-08-04,1,51563.48,470.48,600961,株冶集团,2100,600961,株冶集团,100,switch,,True,True,0.005765008605771449
2026-08-05,1,56395.07,1015.07,002345,潮宏基,5200,002345,潮宏基,100,switch,,True,True,0.09370178273460206
2026-08-06,1,56542.42,2602.42,600961,株冶集团,2000,600961,株冶集团,72,switch,,True,True,0.0026128170423407315
2026-08-07,1,61402.42,2602.42,600961,株冶集团,2000,600961,株冶集团,100,hold,目标未变,False,True,0.08595316578243373
2026-08-10,1,62942.42,2602.42,600961,株冶集团,2000,002345,潮宏基,100,hold_fail,涨停/跌停/停牌，继续持有,False,True,0.025080444712114014
2026-08-11,1,59698.93,496.93,000933,神火股份,2200,000933,神火股份,69,switch,,True,True,-0.051531066012396654
2026-08-12,1,60359.41,1759.41,600961,株冶集团,2000,600961,株冶集团,82,switch,,True,True,0.011063514873717262
2026-08-13,1,58176.96,641.96,600131,国网信通,3700,600131,国网信通,53,switch,,True,True,-0.03615757675563769
2026-08-14,1,57781.49,2071.49,601168,西部矿业,1500,601168,西部矿业,86,switch,,True,True,-0.006797708233637567
2026-08-17,1,61081.49,2071.49,601168,西部矿业,1500,601168,西部矿业,100,hold,目标未变,False,True,0.057111715187683876
2026-08-18,1,60431.69,241.69,600989,宝丰能源,2600,600989,宝丰能源,94,switch,,True,True,-0.010638247364299636
2026-08-19,1,60717.69,241.69,600989,宝丰能源,2600,600989,宝丰能源,100,hold,目标未变,False,True,0.004732616281292179
2026-08-20,1,59976.16,990.16,002345,潮宏基,5800,002345,潮宏基,100,switch,,True,True,-0.012212750518012072
2026-08-21,1,58752.85,1932.85,600961,株冶集团,2000,600961,株冶集团,100,switch,,True,True,-0.020396604250755734
2026-08-24,1,57511.13,135.13,000933,神火股份,2200,000933,神火股份,80,switch,,True,True,-0.021134634319867063
2026-08-25,1,57294.63,1566.63,600993,马应龙,2400,600993,马应龙,76,switch,,True,True,-0.0037644887172274544
2026-08-26,1,57137.63,2173.63,601168,西部矿业,1400,601168,西部矿业,100,switch,,True,True,-0.0027402219021224195
2026-08-27,1,56251.61,531.61,002345,潮宏基,5600,002345,潮宏基,100,switch,,True,True,-0.015506768481646782
2026-08-28,1,58707.55,487.55,002128,电投能源,2000,002128,电投能源,100,switch,,True,True,0.0436599059120264
2026-08-31,1,59282.73,182.73,601168,西部矿业,1500,601168,西部矿业,75,switch,,True,True,0.009797376998358809
2026-09-01,1,60057.21,1479.21,600131,国网信通,3900,600131,国网信通,79,switch,,True,True,0.013064175688265234
