date,track,equity,cash,holding,holding_name,shares,target,target_name,target_strength,action,reason,switched,rebalance,day_return
2026-06-26,1,72191.66,182.66,600961,株冶集团,2100,600961,株冶集团,78,switch,,True,True,-0.048820262521679036
2026-06-29,1,71001.47,2726.47,601168,西部矿业,2500,601168,西部矿业,87,switch,,True,True,-0.016486530438557634
2026-06-30,1,70576.47,2726.47,601168,西部矿业,2500,601168,西部矿业,43,hold,目标未变,False,True,-0.0059857915617803625
2026-07-01,1,68928.32,1858.32,600961,株冶集团,1900,600961,株冶集团,100,switch,,True,True,-0.02335268397526813
2026-07-02,1,63900.78,1041.78,601168,西部矿业,2300,601168,西部矿业,100,switch,,True,True,-0.07293867020115985
2026-07-03,1,68247.78,1041.78,601168,西部矿业,2300,601168,西部矿业,100,hold,目标未变,False,True,0.06802733863342514
2026-07-06,1,66864.12,400.12,600989,宝丰能源,3200,600989,宝丰能源,99,switch,,True,True,-0.020274066057533346
2026-07-07,1,64457.89,1361.89,601168,西部矿业,2200,601168,西部矿业,84,switch,,True,True,-0.035986864105891136
2026-07-08,1,63289.91,1997.91,000933,神火股份,2800,000933,神火股份,81,switch,,True,True,-0.018120047057078592
2026-07-09,1,61711.83,881.83,600961,株冶集团,2200,600961,株冶集团,100,switch,,True,True,-0.0249341482710278
2026-07-10,1,59225.83,881.83,600961,株冶集团,2200,000933,神火股份,100,hold_fail,涨停/跌停/停牌，继续持有,False,True,-0.040284010375320256
2026-07-13,1,56810.54,1811.54,600989,宝丰能源,2700,600989,宝丰能源,100,switch,,True,True,-0.04078102409033357
2026-07-14,1,60293.54,1811.54,600989,宝丰能源,2700,600989,宝丰能源,100,hold,目标未变,False,True,0.06130904582142671
2026-07-15,1,60310.09,1637.09,000933,神火股份,2300,000933,神火股份,100,switch,,True,True,0.00027449043463034783
2026-07-16,1,58131.59,603.59,601168,西部矿业,1700,601168,西部矿业,100,switch,,True,True,-0.03612165062264039
2026-07-17,1,54349.58,1149.58,600131,国网信通,3800,600131,国网信通,100,switch,,True,True,-0.06505946250567018
2026-07-20,1,57897.5,2457.5,000933,神火股份,2200,000933,神火股份,100,switch,,True,True,0.06527962129606157
2026-07-21,1,56209.59,1.59,600961,株冶集团,2400,600961,株冶集团,100,switch,,True,True,-0.02915341767779267
2026-07-22,1,56291.72,323.72,600989,宝丰能源,2400,600989,宝丰能源,100,switch,,True,True,0.001461138570838294
2026-07-23,1,57573.32,2427.32,000933,神火股份,2100,000933,神火股份,100,switch,,True,True,0.022767113884599732
2026-07-24,1,54827.05,467.05,601168,西部矿业,1500,601168,西部矿业,30,switch,,True,True,-0.047700393168224386
2026-07-27,1,57047.05,467.05,601168,西部矿业,1500,601168,西部矿业,98,hold,目标未变,False,True,0.04049096203425129
2026-07-28,1,55696.58,1576.58,600989,宝丰能源,2400,600989,宝丰能源,94,switch,,True,True,-0.02367291560212148
2026-07-29,1,56380.02,796.02,600131,国网信通,3600,600131,国网信通,85,switch,,True,True,0.012270771383090295
2026-07-30,1,56858.51,1502.51,000933,神火股份,2100,000933,神火股份,100,switch,,True,True,0.008486871767693582
2026-07-31,1,56189.37,1709.37,600961,株冶集团,2400,600961,株冶集团,100,switch,,True,True,-0.011768510993341197
2026-08-03,1,56608.65,783.65,600131,国网信通,3500,600131,国网信通,100,switch,,True,True,0.00746190961030524
2026-08-04,1,56931.9,972.9,600961,株冶集团,2300,600961,株冶集团,100,switch,,True,True,0.005710258061268014
2026-08-05,1,62290.9,972.9,600961,株冶集团,2300,600961,株冶集团,100,hold,目标未变,False,True,0.09413000444390573
2026-08-06,1,63003.9,972.9,600961,株冶集团,2300,600961,株冶集团,72,hold,目标未变,False,True,0.011446294723627348
2026-08-07,1,68592.9,972.9,600961,株冶集团,2300,600961,株冶集团,100,hold,目标未变,False,True,0.08870879421750066
2026-08-10,1,70363.9,972.9,600961,株冶集团,2300,600961,株冶集团,85,hold,目标未变,False,True,0.0258189987593469
2026-08-11,1,66634.93,2050.93,000933,神火股份,2400,000933,神火股份,69,switch,,True,True,-0.052995499112471034
2026-08-12,1,67355.3,2895.3,600961,株冶集团,2200,600961,株冶集团,82,switch,,True,True,0.010810696432036693
2026-08-13,1,64954.47,1199.47,600131,国网信通,4100,600131,国网信通,53,switch,,True,True,-0.03564426258958098
2026-08-14,1,64515.82,1377.82,601168,西部矿业,1700,601168,西部矿业,86,switch,,True,True,-0.006753191889642074
2026-08-17,1,68255.82,1377.82,601168,西部矿业,1700,601168,西部矿业,100,hold,目标未变,False,True,0.0579702776776303
2026-08-18,1,67519.7,384.7,600989,宝丰能源,2900,600989,宝丰能源,94,switch,,True,True,-0.01078472136148989
2026-08-19,1,67838.7,384.7,600989,宝丰能源,2900,600989,宝丰能源,100,hold,目标未变,False,True,0.004724547058117867
2026-08-20,1,67011.41,576.41,600131,国网信通,4300,600131,国网信通,46,switch,,True,True,-0.01219495656608971
2026-08-21,1,66723.83,1380.83,600961,株冶集团,2300,600961,株冶集团,100,switch,,True,True,-0.004291507968568364
2026-08-24,1,65296.09,96.09,000933,神火股份,2500,000933,神火股份,80,switch,,True,True,-0.02139775249712139
2026-08-25,1,65121.09,96.09,000933,神火股份,2500,000933,神火股份,66,hold,目标未变,False,True,-0.0026800992218676267
2026-08-26,1,66274.24,3458.24,601168,西部矿业,1600,601168,西部矿业,100,switch,,True,True,0.01770778099690906
2026-08-27,1,65261.69,1758.69,600961,株冶集团,2300,600961,株冶集团,100,switch,,True,True,-0.015278183499350617
2026-08-28,1,66134.1,2677.1,000933,神火股份,2300,000933,神火股份,93,switch,,True,True,0.013367873249988005
2026-08-31,1,65811.62,2771.62,601168,西部矿业,1600,601168,西部矿业,75,switch,,True,True,-0.004876153149434459
2026-09-01,1,66636.65,548.65,600131,国网信通,4400,600131,国网信通,79,switch,,True,True,0.012536236002091972
